incorrect,correct,errors
"Samantala tinukoy sa advisory ang mga munisipyo ng Rizal, Lubuagan, Tanudan at Balbalan na isinailalim sa MECQ habang ang Tinglayan at Pasil ay nasa ilalim ng mas maluwag na GCQ.","Samantala, tinukoy sa advisory ang mga munisipyo ng Rizal, Lubuagan, Tanudan at Balbalan na isinailalim sa MECQ habang ang Tinglayan at Pasil ay nasa ilalim ng mas maluwag na GCQ.",operations: delete; errors: 
Kahit naman dito sa Pinas talagang maituturing mo ng isa sa pinakasikat si Alden dahil solid ang following niya at hindi hinahanapan ng ka-loveteam.,Kahit naman dito sa Pinas talagang maituturing mo na isa sa pinakasikat si Alden dahil solid ang following niya at hindi hinahanapan ng ka-loveteam.,operations: substitute; errors: ligature
"Tumayo rin siyang Deputy Executive Secretary on the staff sa tanggapan na Secretary of State sa Washington D. C kung saan kabilang sa kanyang diplomatic mission ang China, Ukraine, Hong Kong, Mozambique, Kenya at Dominican Republic.","Tumayo rin siyang Deputy Executive Secretary on the staff sa tanggapan ng Secretary of State sa Washington D. C kung saan kabilang sa kanyang diplomatic mission ang China, Ukraine, Hong Kong, Mozambique, Kenya at Dominican Republic.",operations: substitute; errors: ligature
"Ang proyekto ni Tracy na â € œPara Kay Nanayâ €  ay alay niya para sa mga single mothers sa kanyang komunidad sa Cordova, Cebu. Hangad niya na makatulong at ma-empower ang mga single mothers gaya pa ng kanyang ina sa pamamagitan ng kanyang proyekto.","Ang proyekto ni Tracy na â € œPara Kay Nanayâ €  ay alay niya para sa mga single mothers sa kanyang komunidad sa Cordova, Cebu. Hangad niya na makatulong at ma-empower ang mga single mothers gaya ng kanyang ina sa pamamagitan ng kanyang proyekto.",operations: insert; errors: 
"Hinaharap umano ni Ashley ang mga ng komento bashers sa pamamagitan ng pag-acknowledge ng kaniyang feelings, at mas lalo pa niyang ginagalingan.","Hinaharap umano ni Ashley ang mga komento ng bashers sa pamamagitan ng pag-acknowledge ng kaniyang feelings, at mas lalo pa niyang ginagalingan.",operations: swap; errors: 
"Pagbabahagi niya pa, nakasakay na siya sa dahil wheelchair sa labis paghina ng kanyang tuhod.","Pagbabahagi niya pa, nakasakay na siya sa wheelchair dahil sa labis na paghina ng kanyang tuhod.","operations: swap, delete; errors: "
"Ang sahod po ng umiiral ay hindi sapat: P537 lang po sa Metro Manila, at binabagabag tayo ng maraming problema katulad ng tuloy-tuloy na pagtaas na presyo langis ng... hindi makaagapay ang ating sahod.","Ang sahod po na umiiral ay hindi sapat: P537 lang po sa Metro Manila, at binabagabag tayo ng maraming problema katulad ng tuloy-tuloy na pagtaas na presyo ng langis... hindi makaagapay ang ating sahod.","operations: swap, substitute; errors: ligature"
Ito ay makaraan na dumating kahapon sa Ninoy Aquino International Airport ( NAIA ) Terminal 2 ang isang milyong suplay ang ng CoronaVac ng Sinovac na mula sa binili ng panahalaan.,Ito ay makaraan na dumating kahapon sa Ninoy Aquino International Airport ( NAIA ) Terminal 2 ang isang milyong suplay ng CoronaVac ng Sinovac na mula sa binili ng pamahalaan.,"operations: insert, substitute; errors: morphological"
"Hinikayat na alkalde ang publiko na panatilihing malinis ang kapaligiran at labanan ang nakamamatay na sakit sa pamamagitan ng search and destroy mosquito breeding placers, self-protection, seek early consultation at support fogging / spraying hotspot area.","Hinikayat ng alkalde ang publiko na panatilihing malinis ang kapaligiran at labanan ang nakamamatay na sakit sa pamamagitan ng search and destroy mosquito breeding placers, self-protection, seek early consultation at support fogging / spraying hotspot area.",operations: substitute; errors: ligature
"At kahit sila ang may karapatan sa naturang bahagi ng karagatan dahil sakop ito ng Pilipinas, sina Insigne rin pa ang lumalayo sa mga bangka ng China para hindi na maulit ang insidente noong 2019.","At kahit sila ang may karapatan sa naturang bahagi ng karagatan dahil sakop ito ng Pilipinas, sina Insigne pa rin ang lumalayo sa mga bangka ng China para hindi na maulit ang insidente noong 2019.",operations: swap; errors: 
"Naiiyak, ako hindi ko masabi.","Naiiyak ako, hindi ko masabi.",operations: swap; errors: 
Kinuha po ' cellphone yung ko.,Kinuha po ' yung cellphone ko.,operations: swap; errors: 
Tapos ng nag-aaral ako.,Tapos nag-aaral na ako.,"operations: swap, substitute; errors: ligature"
"Nagpaabot naman ng pakikiramay si India Prime Minister na Narendra Modi at nangakong magbibigay ng tulong pinasyal sa mga pamilya ng pumanaw, maging sa mga nasaktan.","Nagpaabot naman ng pakikiramay si India Prime Minister Narendra Modi at nangakong magbibigay ng tulong pinasyal sa mga pamilya ng pumanaw, maging sa mga nasaktan.",operations: insert; errors: 
"Ayon sa report, dakong alas 4: 30 ng hapon ng nakita ama at mga kaanak ang bata na lumubog sa malalim ng bahagi ng sapa saka nila pinagtulungang sagipin.","Ayon sa report, dakong alas 4: 30 ng hapon nakita ng ama at mga kaanak ang bata na lumubog sa malalim na bahagi ng sapa saka nila pinagtulungang sagipin.","operations: swap, substitute; errors: ligature"
"Samantala, ikinatuwa naman ng MalacaÃ ± ang ang balitang nasa 100, 000 Chinese Philippine Offshore Gaming Operator workers na nang raw ang nabakunahan kontra COVID-19 sa bansa â € ” kahit ipinagbabawal pa ito ng FDA.","Samantala, ikinatuwa naman ng MalacaÃ ± ang ang balitang nasa 100, 000 Chinese Philippine Offshore Gaming Operator workers na raw ang nabakunahan kontra COVID-19 sa bansa â € ” kahit ipinagbabawal pa ito ng FDA.",operations: insert; errors: 
"Kung itigil natin yung of state emergency, matitigil ay yun.","Kung itigil natin yung state of emergency, matitigil yun.","operations: swap, insert; errors: "
"Lawrence Cajipe ang dalawang biktima na sina Manny Alcanar, si 50, may asawa ng No.","Lawrence Cajipe ang dalawang biktima na sina Manny Alcanar, 50, may asawa ng No.",operations: insert; errors: 
"Sa himpilan ng pulisya, inamin na suspek na pinagsusuntok niya sa tiyan ang bata dahil sa ayaw tumigil sa pag-iyak. Nahaharap ngayon sa kasong murder ang suspek.","Sa himpilan ng pulisya, inamin ng suspek na pinagsusuntok niya sa tiyan ang bata dahil sa ayaw tumigil sa pag-iyak. Nahaharap ngayon sa kasong murder ang suspek.",operations: substitute; errors: ligature
"Tiningnan namin ' yung mga foreign productions, ' yung mga ibang ginagawa na mga artists both locally and, internationally patuloy niya.","Tiningnan namin ' yung mga foreign productions, ' yung mga ibang ginagawa ng mga artists both locally and internationally, patuloy niya.","operations: swap, substitute; errors: ligature"
Napag-alaman din ng na pulisya na galing sa inuman si Sagon bago mangyari ang insidente.,Napag-alaman din ng pulisya na galing sa inuman si Sagon bago mangyari ang insidente.,"operations: insert, substitute; errors: ligature"
At sa muli ngang pagharap ni Erich sa ilang members na entertainment media at vloggers ay natanong siya kung may possibility pa bang magsama sila uli Thai ng superstar sa isang project.,At sa muli ngang pagharap ni Erich sa ilang members ng entertainment media at vloggers ay natanong siya kung may possibility pa bang magsama sila uli ng Thai superstar sa isang project.,"operations: substitute, swap; errors: ligature"
", Aniya para makamit ito, kailangan lamang lumago ekonomiya ng 3. 3 %.","Aniya, para makamit ito, kailangan lamang lumago ang ekonomiya ng 3. 3 %.","operations: swap, delete; errors: "
"Tinutukoy ng na BAYAN ang pagpaparinig ni Digong na tumakbo sa pagkabise presidente sa 2022, isang posisyon na papalit sa pangulo oras na magbitiw ito o hindi na makagampan.","Tinutukoy ng BAYAN ang pagpaparinig ni Digong na tumakbo sa pagkabise presidente sa 2022, isang posisyon na papalit sa pangulo oras na magbitiw ito o hindi na makagampan.","operations: substitute, insert; errors: ligature"
"Patuloy ng aming source Yung sexy star na kasama sa grupo, hindi sumama sa pag-uwi.","Patuloy ng aming source, Yung sexy star na kasama sa grupo, hindi sumama sa pag-uwi.",operations: delete; errors: 
"Bumalik ang ' yung pagkabata ko, anang batikang aktor.","Bumalik ' yung pagkabata ko, anang batikang aktor.",operations: insert; errors: 
pa ng DOH ang dahilan ng pagkasira ng 5 % nasayang sa 44 milyong COVID-19 vaccines.,Inaalam pa ng DOH ang dahilan ng pagkasira ng 5 % nasayang sa 44 milyong COVID-19 vaccines.,operations: delete; errors: 
Ginawa ni Magalong ang desisyon matapos sa dumalo isang magarbong party ng isang celebrity sa Baguio city na lumabag sa quarantine protocols â € ” bagay na ang kinastigo online.,Ginawa ni Magalong ang desisyon matapos dumalo sa isang magarbong party ng isang celebrity sa Baguio city na lumabag sa quarantine protocols â € ” bagay na kinastigo online.,"operations: insert, swap; errors: "
Nakapakarami nang ipinanganak na magagaling sa niya hanay.,Nakapakarami nang ipinanganak na magagaling sa hanay niya.,operations: swap; errors: 
Umabante ang Milwaukee sa kanilang pang-limang dikit playoff na appearance at asam una nilang NBA title matapos noong 1971.,Umabante ang Milwaukee sa kanilang pang-limang dikit na playoff appearance at asam ang una nilang NBA title matapos noong 1971.,"operations: delete, swap; errors: "
"Sinabi ni Duterte na hindi naman siya nagpabaya kaya mayroon siyang mga hindi nagawa sadyang kundi maikli ang ani, na taon para matapos lahat ang proyekto.","Sinabi ni Duterte na hindi naman siya nagpabaya kaya mayroon siyang mga hindi nagawa kundi sadyang maikli ang ani, na taon para matapos lahat ang mga proyekto.","operations: delete, swap; errors: "
Iniutos pa ni Reyes na palakasin ang police at mobile visibility sa lahat ng lugar sa rehiyon at imonitor ang sitwasyon ng € œpeace and orderâ €  at maging ang galaw ng masasamang element na posibleng manabotahe sa makasaysayang aktibidad ng bansa.,Iniutos pa ni Reyes na palakasin ang police at mobile visibility sa lahat ng lugar sa rehiyon at imonitor ang sitwasyon ng â € œpeace and orderâ €  at maging ang galaw ng masasamang element na posibleng manabotahe sa makasaysayang aktibidad ng bansa.,operations: delete; errors: 
Ang niya kaibigan kapwa actress na si Melissa Mendes ay ang unang nakiramay: It is with deep sorrow that my dearest friend Angela Perez has passed.,Ang kaibigan niya kapwa actress na si Melissa Mendes ang unang nakiramay: It is with deep sorrow that my dearest friend Angela Perez has passed.,"operations: swap, insert; errors: "
"Kinumpirma rin ni Presidential Spokesman Harry, Roque na hindi darating ngayong araw ang AstraZeneca base sa notice ng COVAX facility dahil sa problema sa logistics.","Kinumpirma rin ni Presidential Spokesman Harry Roque, na hindi darating ngayong araw ang AstraZeneca base sa notice ng COVAX facility dahil sa problema sa logistics.",operations: swap; errors: 
"Dagdag pa ng CCPI, dapat ay na si hintayin lamang ang susunod na administrasyong makaupo sa poder at pag-aralan ang sitwasyon at ipaubaya na sa kanila ang pagdedesisyon sa minimum wage.","Dagdag pa ng CCPI, dapat ay hintayin na lamang ang susunod na administrasyong makaupo sa poder at pag-aralan ang sitwasyon at ipaubaya na sa kanila ang pagdedesisyon sa minimum wage.","operations: swap, insert; errors: "
May presensya na ng Delta variant ang lahat ng rehiyon sa bansa pa at nang siya pinaka-karaniwan na uri ng virus na may lineage.,May presensya na ng Delta variant ang lahat ng rehiyon sa bansa at siya nang pinaka-karaniwan na uri ng virus na may lineage.,"operations: insert, swap; errors: "
si Patungo rin umano si Cairo si Migrant Workers Secretary Susan Ople para tumulong sa paglikas sa mga Filipino.,Patungo na rin umano si Cairo si Migrant Workers Secretary Susan Ople para tumulong sa paglikas sa mga Filipino.,"operations: delete, insert; errors: "
Pinirmahan ni Moreno nitong Disyembre 28 ang nang Executive Order No.,Pinirmahan ni Moreno nitong Disyembre 28 ang Executive Order No.,operations: insert; errors: 
Bukod dito nakasaad din umano sa Republic Act 11525 na obligado ang na magbigay ng vaccine card sa mga naturukan na ng bakuna na proteksyon laban sa COVID-19.,Bukod dito nakasaad din umano sa Republic Act 11525 na obligado ang DOH na magbigay ng vaccine card sa mga naturukan na ng bakuna na proteksyon laban sa COVID-19.,operations: delete; errors: 
Bawal pa si kasi aniyang pakawalan ang mga ito dahil nagyeyelo pa rin sa lamig ang tubig doon.,Bawal pa kasi aniyang pakawalan ang mga ito dahil nagyeyelo pa rin sa lamig ang tubig doon.,"operations: substitute, insert; errors: enclitic"
"Wala namang may gustong makialam, mahirap ng raw, ang dahil baka sila biglang patayin sa serye nang walang kalaban-laban!","Wala namang may gustong makialam, mahirap na raw, dahil baka sila biglang patayin sa serye nang walang kalaban-laban!","operations: insert, substitute; errors: ligature"
"Gma First Vice President for Program Management DepartmentJose Mari Abacanrevealshow they decided to produce theseven-part mini-series, When did the Regal Studio Presents: Raya Sirena, wakasan talaga siya so we didnt know na may clamor na sundan siya ng medyo mahaba-haba. So, nung pinag-uusapan namin gagawa ba tayo na Raya Sirena 2 within Regal Studio Presents? Nag-usap kami ni Roselle ( Monteverde ), tingnan natin baka pwede natin gawin naseven-part series para hindi nagmamadali. Pag nag-work ito, sana araw-araw na.","Gma First Vice President for Program Management DepartmentJose Mari Abacanrevealshow they decided to produce theseven-part mini-series, When we did the Regal Studio Presents: Raya Sirena, wakasan talaga siya so we didnt know na may clamor na sundan siya ng medyo mahaba-haba. So, nung pinag-uusapan namin gagawa ba tayo ng Raya Sirena 2 within Regal Studio Presents? Nag-usap kami ni Roselle ( Monteverde ), tingnan natin baka pwede natin gawin naseven-part series para hindi nagmamadali. Pag nag-work ito, sana araw-araw na.","operations: substitute, delete; errors: ligature"
"Sa P20. 23 bilyong outstanding balance, P15. 28 bilyon ay patuloy ang pagpapatupad na kontrata, P1. 47 bilyon ang nasa pre-implementation cases, P1. 96 bilyon ay ibabalik dahil sa savings at P1. 51 bilyon ay para sa procurement.","Sa P20. 23 bilyong outstanding balance, P15. 28 bilyon ay patuloy ang pagpapatupad ng kontrata, P1. 47 bilyon ang nasa pre-implementation cases, P1. 96 bilyon ay ibabalik dahil sa savings at P1. 51 bilyon ay para sa procurement.",operations: substitute; errors: ligature
"Sa isang statement, kinilala ang suspek na si Aldasir Makumbong o â € Alsimar ˜ Mangumahâ € ™ na siya ring subject ng inihain na warrant of arrest ng mga otoridad dahil siya ang itinuturong primary suspect sa pagpatay businesswoman sa Zamboanga City at sangkot pa sa pagnanakaw at illegal drug trade.","Sa isang statement, kinilala ang suspek na si Aldasir Makumbong o â € ˜ Alsimar Mangumahâ € ™ na siya ring subject ng inihain na warrant of arrest ng mga otoridad dahil siya ang itinuturong primary suspect sa pagpatay sa businesswoman sa Zamboanga City at sangkot pa sa pagnanakaw at illegal drug trade.","operations: delete, swap; errors: "
"Hindi bale iyong kagaya nina Gary Valenciano at Ogie Alcasid na matagal na sa industriya, o iyong ay mga uncertain pa kung sisikat nga ba o hindi, puwede nang sumugal ang mga iyan","Hindi bale iyong kagaya nina Gary Valenciano at Ogie Alcasid na matagal na sa industriya, o iyong mga uncertain pa kung sisikat nga ba o hindi, puwede nang sumugal ang mga iyan.","operations: insert, delete; errors: "
Magugunitang naghain ng mga kasong paglabag sa 226-A Article ng Revised Penal Code at 266-A ( 2 ) in relation Republic Act 7610 ( Anti Child Abuse Law ) ang magulang ng 12-anyos na babae hanggang sa lumabas ang warrat of arrest laban sa suspek. Ang biktima ay pamangkin ng asawa ng suspek.,Magugunitang naghain ng mga kasong paglabag sa Article 226-A ng Revised Penal Code at 266-A ( 2 ) in relation Republic Act 7610 ( Anti Child Abuse Law ) ang magulang ng 12-anyos na babae hanggang sa lumabas ang warrat of arrest laban sa suspek. Ang biktima ay pamangkin ng asawa ng suspek.,operations: swap; errors: 
"ginagawa rin po akong new series sa ABS-CBN so nawalan ako ng time dahil naka-lock in kami sa Baguio, â €  paglalahad ng binata.","May ginagawa rin po akong new series sa ABS-CBN so nawalan ako ng time dahil naka-lock in kami sa Baguio, â €  paglalahad ng binata.","operations: substitute, delete; errors: enclitic"
"Sa nakaraang episode ng â € œKapuso Mo, Jessica Soho, â si €  makikita kung papaano tila nakikipagtaguan ang mga vendor sa mga tauhan nang Philippine Ports Authority ( PPA ) na nagtataboy sa kanila kapag nakitang lumalangoy sila patungo sa barko.","Sa nakaraang episode ng â € œKapuso Mo, Jessica Soho, â €  makikita kung papaano tila nakikipagtaguan ang mga vendor sa mga tauhan ng Philippine Ports Authority ( PPA ) na nagtataboy sa kanila kapag nakitang lumalangoy sila patungo sa barko.","operations: insert, substitute; errors: ng_nang"
"Normally, ang mga top taxpayers natin mga TV personality, movie personality dahil sobra silang high profile na dapat sila ang nakikita ng BIR para pagbayarin ng tax.","Normally, ang mga top taxpayers natin mga TV personality, movie personality dahil sobra silang high profile na dapat sila ang nauunang nakikita ng BIR para pagbayarin ng tax.",operations: delete; errors: 
"Kahit na naging LPA na lamang ang dating bagyong si"" Maymay,"" patuloy pa rin ang naman banta ng mga pag-ulan.","Kahit na naging LPA na lamang ang dating bagyong"" Maymay,"" patuloy pa rin naman ang banta ng mga pag-ulan.","operations: insert, swap; errors: "
Sa rami ng preparasyon na kanilang nang ginawa ay lang dahil nabudol pala sila.,Sa rami ng preparasyon na kanilang ginawa ay nabalewala lang dahil nabudol pala sila.,"operations: insert, delete; errors: "
Nauna nang pinangalanan ni Pacquiao ng kasama sa mga pinagpipilian nito sina Errol Spence at Terrence Crawford.,Nauna nang pinangalanan ni Pacquiao na kasama sa mga pinagpipilian nito sina Errol Spence at Terrence Crawford.,operations: substitute; errors: ligature
Hindi ikaw yung klase ng babae si na tamang hinala? tanong ni Boobay kay Bea.,Hindi ikaw yung klase ng babae na tamang hinala? tanong ni Boobay kay Bea.,operations: insert; errors: 
"Mapapansin din ang kaniyang baby bump sa suot niyang three-piece floral, beachwear habang nasa harapan niya ang agahan niyang tapsilog.","Mapapansin din ang kaniyang baby bump sa suot niyang three-piece floral beachwear, habang nasa harapan niya ang agahan niyang tapsilog.",operations: swap; errors: 
Lumabas sa imbestigasyon ng patungo sana ang magkapatid sa ng kanilang ama at lola.,Lumabas sa imbestigasyon na patungo sana ang magkapatid sa bahay ng kanilang ama at lola.,"operations: substitute, delete; errors: ligature"
"Sa ulat, dakong alas-8: 50 ng umaga ay ilang residente ang napadaan sa nakaparadang silver Toyota Camry ( UPZ-367 ) sa tabi ng highway at nakaamoy ng masangsang mula sa loob ng sasakyan. Nang silipin ay nagulantang sila nang makita ang isang patay na sa backseat ng kotse.","Sa ulat, dakong alas-8: 50 ng umaga ay ilang residente ang napadaan sa nakaparadang silver Toyota Camry ( UPZ-367 ) sa tabi ng highway at nakaamoy ng masangsang mula sa loob ng sasakyan. Nang silipin ay nagulantang sila nang makita ang isang patay na babae sa backseat ng kotse.",operations: delete; errors: 
"Patuloy na bumababa pa ang na kaso ng COVID-19 sa National Capital Region ( NCR ) at iba pang mga lalawigan, ayon sa OCTA Research Group.","Patuloy na bumababa pa ang mga kaso ng COVID-19 sa National Capital Region ( NCR ) at iba pang mga lalawigan, ayon sa OCTA Research Group.","operations: insert, delete; errors: "
"Samantala, raw talaga isinakripisyo muna ni Jomari ang kanyang showbiz career para sa public service, Nandiyan yung mga offer na magaganda, sa Probinsyano, naka-meeting ko pa sila Dondon Monteverde and Direk Erik Matti, maganda ang ibinibigay nila sa aking role.","Samantala, talaga raw isinakripisyo muna ni Jomari ang kanyang showbiz career para sa public service, Nandiyan yung mga offer na magaganda, sa Probinsyano, naka-meeting ko pa sila Dondon Monteverde and Direk Erik Matti, maganda ang ibinibigay nila sa aking role.","operations: substitute, swap; errors: enclitic"
"Nagbigay rin nang pinansiyal na tulong si Kuya Wil kay Jona, at sinabi nitong padalhan din ng pera ang ina sa Jordan para ang mabili mga kailangan nitong gamit.","Nagbigay rin ng pinansiyal na tulong si Kuya Wil kay Jona, at sinabi nitong padalhan din ng pera ang ina sa Jordan para mabili ang mga kailangan nitong gamit.","operations: swap, substitute; errors: ng_nang"
"Na-enjoy raw nila ang experience rito sa, Pilipinas kaya gusto nilang bumalik pa.","Na-enjoy raw nila ang experience nila rito sa Pilipinas, kaya gusto nilang bumalik pa.","operations: delete, swap; errors: "
"Kailangang unawain rin naman natin kung minsan ang employer, lalo nat naman hindi isang malaking kumpanya ang negosyo.","Kailangang unawain din naman natin kung minsan ang employer, lalo nat hindi naman isang malaking kumpanya ang negosyo.","operations: swap, substitute; errors: enclitic"
"Mahirap, maraming naganap ng diskusyunan, mga maraming bilin.","Mahirap, maraming naganap na diskusyunan, maraming mga bilin.","operations: substitute, swap; errors: ligature"
"We dont have the number ( of public schools ) right now. In fact, we are asking for the number kung ilan ba pa talaga yong schools na ginagamit pa ring quarantine facility, ayon kay Poa.","We dont have the number ( of public schools ) right now. In fact, we are asking for the number kung ilan ba talaga yong schools na ginagamit pa ring quarantine facility, ayon kay Poa.",operations: insert; errors: 
"Ngayon pa lamang ay sobrang excited na umano ni Ogie na muling makapagtanghal sa harap ng libu-libong manonood. â € œIts been two years na tayong lahat ay nasa bahay lang. course Of, working under very, very strict health protocols. But as far as the live entertainment is concerned, ngayon lang talaga nagsisimula for us. So after two years, ngayon lang ako magpe-perform nang live pa sa harap ng ating mga kaibigan sa Amerika. So the anticipation is grabe, â €  paglalahad ni Ogie.","Ngayon pa lamang ay sobrang excited na umano ni Ogie na muling makapagtanghal sa harap ng libu-libong manonood. â € œIts been two years na tayong lahat ay nasa bahay lang. Of course, working under very, very strict health protocols. But as far as the live entertainment is concerned, ngayon lang talaga nagsisimula for us. So after two years, ngayon lang ako magpe-perform nang live sa harap ng ating mga kaibigan sa Amerika. So the anticipation is grabe, â €  paglalahad ni Ogie.","operations: insert, swap; errors: "
"Im asking na kami ni Shine mag-get together after her taping lock-in at si Macky naman pag hindi siya masyadong busy, magkikita kami ni Dave,, ako, â €  dagdag ng aktres.","Im asking na kami ni Shine mag-get together after her lock-in taping at si Macky naman pag hindi siya masyadong busy, magkikita kami ni Dave, Macky, ako, â €  dagdag ng aktres.","operations: swap, delete; errors: "
"Sabi pa ng isang usisero si, Napanood ko si Angel sa show niyang Iba Yan, nakakaloka ang itsura niya! Para na siyang nanganak nang apat na beses sa katabaan niya!","Sabi pa ng isang usisero, Napanood ko si Angel sa show niyang Iba Yan, nakakaloka ang itsura niya! Para na siyang nanganak nang apat na beses sa katabaan niya!",operations: insert; errors: 
Patuloy namang bibigyan ng 20 percent discount ang mga pasahero na senior ay citizens at persons with disabilities at mga estudyante. ( Angie.,Patuloy namang bibigyan ng 20 percent discount ang mga pasahero na senior citizens at persons with disabilities at mga estudyante. ( Angie.,operations: insert; errors: 
"Bongga talaga, kaya naman, ngayon pa lang dami ng naghihintay what Christmas will bring.","Bongga talaga, kaya naman, ngayon pa lang dami nang naghihintay what Christmas will bring.",operations: substitute; errors: ng_nang
Isa sa mga araw ng ito ay baka si Dingdong pa ang mag-deliver ng orders para sa DingDong PH at baka sumama pa raw si Ryan sa pag-deliver kung mag-o-order kay Angrydobo.,Isa sa mga araw na ito ay baka si Dingdong pa ang mag-deliver ng orders para sa DingDong PH at baka sumama pa raw si Ryan sa pag-deliver kung mag-o-order kay Angrydobo.,operations: substitute; errors: ligature
"Matatandaang kahihiwalay pa lamang din ng aktres at Diego Loyzaga kamakailan. Ayon kay Barbie ay naging maayos naman ang kanilang pag-uusap ng dating kasintahan. Tumagal lamang ng isang taon ang relasyon ng dalawa. â € œWe broke up, hindi naman siya bad breakup. ay Okay kami, hindi kami nag-break na magkaaway kami,. We are okay. I think its for the better naman. Even si Diegs naman alam niya naman yon na parang marami pa kaming kailangang matutunan at kailangan pa namin na mag-grow apart, â €  pagbabahagi ng dalaga. Reports from JCC.","Matatandaang kahihiwalay pa lamang din ng aktres at Diego Loyzaga kamakailan. Ayon kay Barbie ay naging maayos naman ang kanilang pag-uusap ng dating kasintahan. Tumagal lamang ng isang taon ang relasyon ng dalawa. â € œWe broke up, hindi naman siya bad breakup. Okay kami, hindi kami nag-break na magkaaway kami, hindi. We are okay. I think its for the better naman. Even si Diegs naman alam niya naman yon na parang marami pa kaming kailangang matutunan at kailangan pa namin na mag-grow apart, â €  pagbabahagi ng dalaga. Reports from JCC.","operations: insert, delete; errors: "
"Bukod daw kasi sa nagdedmahan ang dalawa sa GMA Thanksgiving Gala night, hindi rin daw talaga nag-uusap ang at nagkakaroon ng disagreement sa taping na Start-Up Philippines.","Bukod daw kasi sa nagdedmahan ang dalawa sa GMA Thanksgiving Gala night, hindi rin daw talaga nag-uusap ang dalawa at nagkakaroon ng disagreement sa taping ng Start-Up Philippines.","operations: delete, substitute; errors: ligature"
"Natagpuan ni Max ang na 69-anyos si Quintero na nagtatago sa damuhan, ayon sa Mexican Navy.","Natagpuan ni Max ang 69-anyos na si Quintero na nagtatago sa damuhan, ayon sa Mexican Navy.",operations: swap; errors: 
"Talagang, ramdam ng ang election sa 2022 kahit ang pandemya pa rin.","Talagang, ramdam na ang election sa 2022 kahit pandemya pa rin.","operations: insert, substitute; errors: ligature"
"Pinaalalahanan din naman na senador ang kanyang mga kapwa mambabatas na ang insurhensya ay sanhi ng kapabayaan ng mga nakaraang administrasyon na nagresulta sa kahirapan at pagbubukod sa pulitika. Plano niyang tumulong na matiyak ang pagpapatuloy ng pagsisikap ng pamahalaan na tugunan ang mga isyung ito, para sa kapakanan ng mga susunod na henerasyon ng mga Pilipinong isinilang sa lugar na ito.","Pinaalalahanan din naman ng senador ang kanyang mga kapwa mambabatas na ang insurhensya ay sanhi ng kapabayaan ng mga nakaraang administrasyon na nagresulta sa kahirapan at pagbubukod sa pulitika. Plano niyang tumulong na matiyak ang pagpapatuloy ng pagsisikap ng pamahalaan na tugunan ang mga isyung ito, para sa kapakanan ng mga susunod na henerasyon ng mga Pilipinong isinilang sa mga lugar na ito.","operations: substitute, delete; errors: ligature"
Habang sinusulat namin ang balitang ay hindi pa kami sinasagot ni Angel Locsin kung kailan talaga ang petsa ng kasal nila na asawang si Neil Arce.,Habang sinusulat namin ang balitang ito ay hindi pa kami sinasagot ni Angel Locsin kung kailan talaga ang petsa ng kasal nila ng asawang si Neil Arce.,"operations: delete, substitute; errors: ligature"
Ang kanilang padre de pamilya pala ang laging nagluluto sa kanila ng spaghetti at niya recipe ang ginawa ng kaniyang ina sa paghahanda nito na.,Ang kanilang padre de pamilya pala ang laging nagluluto sa kanila ng spaghetti at recipe niya ang ginawa ng kaniyang ina sa paghahanda nito.,"operations: swap, insert; errors: "
"Mildred Jacinto Marquez, presiding judge ng nang Family Court Branch 2, NCR judicial region, Las PiÃ ± as City para sa kasong violation of RA 9262 at hindi ng nakapalag pa ang suspek nang ito ay masakote.","Mildred Jacinto Marquez, presiding judge ng Family Court Branch 2, NCR judicial region, Las PiÃ ± as City para sa kasong violation of RA 9262 at hindi na nakapalag pa ang suspek nang ito ay masakote.","operations: insert, substitute; errors: ligature"
Pero humihingi sila ng tulong para makauwi kaagad sa bansa ang ina ng bata na isang OFW sa Kuwait. - FRJ -.,Pero humihingi sila ng tulong para makauwi kaagad sa bansa ang ina ng bata na isang OFW sa Kuwait. - - FRJ.,operations: swap; errors: 
"Samantala, sumuko naman ang isa pang suspek na kinilalang si John Allen Dancel ng siya umanong bumasag sa ng bintana SUV ni Gerald.","Samantala, sumuko naman ang isa pang suspek na kinilalang si John Allen Dancel na siya umanong bumasag sa bintana ng SUV ni Gerald.","operations: swap, substitute; errors: ligature"
"Yes, simula ngayong Agosto, magbubukas na ang BuKo ( Buhay Komedya ), ang kauna-unahan at nag-iisang 24 / 7 local comedy channel na may dalang refreshing lineup kumbaga, ng comedy classics, hit sitcoms, gag shows, at all-new original programs na pagbibidahan ng mga sikat ang at baguhang mga komedyante.","Yes, simula ngayong Agosto, magbubukas na ang BuKo ( Buhay Komedya ), ang kauna-unahan at nag-iisang 24 / 7 local comedy channel na may dalang refreshing lineup kumbaga, ng comedy classics, hit sitcoms, gag shows, at all-new original programs na pagbibidahan ng mga sikat at baguhang mga komedyante.",operations: insert; errors: 
Anong masasabi niya rito?,Anong masasabi niya rito?,"operations: insert, delete; errors: "
Nilinaw rin ni Sotto na wala pan pinal na desisyon kung maglalaro ba siya o hindi sa NBA Summer League.,Nilinaw rin ni Sotto na wala pang pinal na desisyon kung maglalaro ba siya o hindi sa NBA Summer League.,operations: substitute; errors: morphological
